risk_dial,risk_category,risk_factor,modifiable,risk_direction,question,answer,min_value,max_value,sex,prev_value,prev_doi,prev_year,prev_note,prev_study_design,prev_participants,prev_country,prev_review_date,rr_value,rr_doi,rr_year,rr_notes,rr_study_design,rr_participants,rr_country,rr_review_date
Bladder Cancer,Cancer,Diabetes,No,Risk,Have you been diagnosed with Diabetes?,Yes,NA,NA,Male,0.094,https://doi.org/10.24095/hpcdp.39.11.03,2019,Highlights,Nationally representative sample,"37,600,000",Canada,18-Sep-2023,1.430,https://doi.org/10.1007/s00125-006-0468-0,2006,Abstract - cohort RR,Meta-analysis,Unclear. Meta-analysis of 16 studies,Multiple countries,18-Sep-2023
Bladder Cancer,Cancer,Family history,No,Risk,Do you have any family history of bladder cancer?,No,NA,NA,Female,0.983,https://doi.org/10.1093/aje/kwg043,2003,Table 5,Retrospective cohort study,"150,000",United States,18-Sep-2023,1.000,https://doi.org/10.1158/1055-9965.epi-06-0743,2007,Table 4,Case control study,"2,402",Spain,18-Sep-2023
Bladder Cancer,Cancer,Family history,No,Risk,Do you have any family history of bladder cancer?,Yes,NA,NA,Female,0.017,https://doi.org/10.1093/aje/kwg043,2003,Table 5,Retrospective cohort study,"150,000",United States,18-Sep-2023,2.290,https://doi.org/10.1158/1055-9965.epi-06-0743,2007,Table 4,Case control study,"2,402",Spain,18-Sep-2023
Bladder Cancer,Cancer,Family history,No,Risk,Do you have any family history of bladder cancer?,No,NA,NA,Male,0.983,https://doi.org/10.1093/aje/kwg043,2003,Table 5,Retrospective cohort study,"150,000",United States,18-Sep-2023,1.000,https://doi.org/10.1158/1055-9965.epi-06-0743,2007,Table 4,Case control study,"2,402",Spain,18-Sep-2023
Bladder Cancer,Cancer,Family history,No,Risk,Do you have any family history of bladder cancer?,Yes,NA,NA,Male,0.017,https://doi.org/10.1093/aje/kwg043,2003,Table 5,Retrospective cohort study,"150,000",United States,18-Sep-2023,2.290,https://doi.org/10.1158/1055-9965.epi-06-0743,2007,Table 4,Case control study,"2,402",Spain,18-Sep-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,0,25,Female,0.355,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.000,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,25,30,Female,0.282,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.070,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,30,100,Female,0.363,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.130,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,0,25,Male,0.259,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.000,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,25,30,Male,0.386,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.090,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,High BMI,Yes,Risk,What is your BMI (weight/height)?,BMI range,30,100,Male,0.355,https://doi.org/10.1001/jama.2012.39,2012,See Table 2,Nationally representative sample,"5,926",United States,28-Jun-2023,1.100,https://doi.org/10.1371/journal.pone.0119313,2015,Table 1 - by gender,Meta-analysis,"14,239,572",Multiple countries,8-Nov-2023
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,0,1,Female,0.011,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,1,5,Female,0.045,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,5,10,Female,0.059,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,10,15,Female,0.061,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,15,20,Female,0.061,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,20,25,Female,0.063,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.040,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,25,30,Female,0.067,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.120,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,30,35,Female,0.068,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.190,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,35,40,Female,0.065,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.310,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,40,45,Female,0.062,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.540,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,45,50,Female,0.059,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,1.000,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,50,55,Female,0.062,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,2.270,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,55,60,Female,0.065,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,4.040,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,60,65,Female,0.066,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,6.650,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,65,70,Female,0.058,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,10.350,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,70,75,Female,0.049,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,15.540,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,75,80,Female,0.033,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,20.580,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,80,85,Female,0.023,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,25.150,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,85,120,Female,0.022,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,27.920,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=3&advopt_precision=1&hdn_view=1&advopt_show_apc=on&advopt_display=2#resultsRegion1,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,0,1,Male,0.012,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,1,5,Male,0.049,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,5,10,Male,0.065,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,10,15,Male,0.066,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.001,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,15,20,Male,0.065,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.010,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,20,25,Male,0.066,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.040,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,25,30,Male,0.072,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.060,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
Bladder Cancer,Cancer,Older age,No,U-shaped,What is your age?,Age range,30,35,Male,0.071,https://www.census.gov/data/tables/2021/demo/age-and-sex/2021-age-sex-composition.html,2021,See calculations in Gdrive link,US Census Data,"326,195,000",United States,15-Jan-2024,0.110,https://seer.cancer.gov/statistics-network/explorer/application.html?site=71&data_type=1&graph_type=3&compareBy=race&chk_race_1=1&rate_type=2&sex=2&advopt_precision=1&advopt_show_ci=on&hdn_view=1&advopt_show_apc=on&advopt_display=2,2022,See calculations in Gdrive link,US Census Data,"158,764,206",United States,15-Jan-2024
